Name,Party,State
ABEL MESQUITA JR.,DEM,RR
ADAIL CARNEIRO,PP,CE
ADALBERTO CAVALCANTI,AVANTE,PE
ADELMO CARNEIRO LEÃO,PT,MG
ADELSON BARRETO,PR,SE
ADEMIR CAMILO,PODE,MG
ADILTON SACHETTI,PSB,MT
AELTON FREITAS,PR,MG
AFONSO FLORENCE,PT,BA
AFONSO HAMM,PP,RS
AFONSO MOTTA,PDT,RS
AGUINALDO RIBEIRO,PP,PB
ALAN RICK,DEM,AC
ALBERTO FILHO,PMDB,MA
ALBERTO FRAGA,DEM,DF
ALCEU MOREIRA,PMDB,RS
ALESSANDRO MOLON,REDE,RJ
ALEX CANZIANI,PTB,PR
ALEX MANENTE,PPS,SP
ALEXANDRE BALDY,PODE,GO
ALEXANDRE LEITE,DEM,SP
ALEXANDRE SERFIOTIS,PMDB,RJ
ALEXANDRE VALLE,PR,RJ
ALFREDO KAEFER,PSL,PR
ALFREDO NASCIMENTO,PR,AM
ALICE PORTUGAL,PCdoB,BA
ALIEL MACHADO,REDE,PR
ALTINEU CÔRTES,PMDB,RJ
ALUISIO MENDES,PODE,MA
ANA PERUGINI,PT,SP
ANDRÉ ABDON,PP,AP
ANDRÉ AMARAL,PMDB,PB
ANDRÉ DE PAULA,PSD,PE
ANDRÉ FIGUEIREDO,PDT,CE
ANDRÉ FUFUCA,PP,MA
ANDRE MOURA,PSC,SE
ANDRES SANCHEZ,PT,SP
ANGELIM,PT,AC
ANÍBAL GOMES,PMDB,CE
ANTONIO BRITO,PSD,BA
ANTONIO BULHÕES,PRB,SP
ANTONIO CARLOS MENDES THAME,PV,SP
ANTÔNIO JÁCOME,PODE,RN
ARIOSTO HOLANDA,PDT,CE
ARLINDO CHINAGLIA,PT,SP
ARNALDO FARIA DE SÁ,PTB,SP
ARNALDO JORDY,PPS,PA
AROLDE DE OLIVEIRA,PSC,RJ
ARTHUR LIRA,PP,AL
ARTHUR OLIVEIRA MAIA,PPS,BA
ASSIS CARVALHO,PT,PI
ASSIS DO COUTO,PDT,PR
ASSIS MELO,PCdoB,RS
ÁTILA LINS,PSD,AM
ÁTILA LIRA,PSB,PI
AUGUSTO CARVALHO,SD,DF
AUGUSTO COUTINHO,SD,PE
AUREO,SD,RJ
BACELAR,PODE,BA
BALEIA ROSSI,PMDB,SP
BEBETO,PSB,BA
BENEDITA DA SILVA,PT,RJ
BENITO GAMA,PTB,BA
BENJAMIN MARANHÃO,SD,PB
BETINHO GOMES,PSDB,PE
BETO FARO,PT,PA
BETO MANSUR,PRB,SP
BETO ROSADO,PP,RN
BETO SALAME,PP,PA
BILAC PINTO,PR,MG
BOHN GASS,PT,RS
