Outliers found for 5 clusters and threshold 2.32
UF	Name
PI	MAIA FILHO
BA	LUCIO VIEIRA LIMA
MA	GASTÃO VIEIRA
BA	EMILIANO JOSÉ
SP	ARNALDO FARIA DE SÁ
MA	RIBAMAR ALVES
RR	FRANCISCO ARAÚJO
RS	POMPEO DE MATTOS
MA	PEDRO FERNANDES
RJ	CHICO D'ANGELO
RJ	SERGIO ZVEITER
RS	MARIA DO ROSÁRIO
PB	AGUINALDO RIBEIRO
SP	ROBERTO SANTIAGO
RJ	DR. ADILSON SOARES
MT	ELIENE LIMA
BA	ANTONIO CARLOS MAGALHÃES NETO
RO	LINDOMAR GARÇON
MG	MÁRIO HERINGER
BA	FERNANDO TORRES
PR	LUIZ CARLOS HAULY
AC	SÉRGIO PETECÃO
AM	SABINO CASTELO BRANCO
RR	JHONATAN DE JESUS
MG	BILAC PINTO
RS	LUIZ CARLOS BUSATO
MG	MÁRIO DE OLIVEIRA
TO	LAUREZ MOREIRA
SP	ARLINDO CHINAGLIA
PE	PASTOR EURICO
PB	WELLINGTON ROBERTO
RJ	FILIPE PEREIRA
PE	EDUARDO DA FONTE
RR	TERESA SURITA
DF	AUGUSTO CARVALHO
AL	CELIA ROCHA
MG	CARLOS MELLES
TO	ÂNGELO AGNOLIN
