"Subquota", "Total expenses", "Average std"
"Flight ticket issue", 315203626.049731, 1.36085489361258
"Publicity of parliamentary activity", 276399266.9, 2.30418885507338
"Telecommunication", 147873853.040009, 1.33813506934306
"Maintenance of office supporting parliamentary activity", 140486442.190006, 1.6223519704269
"Consultancy, research and technical work", 129988577.52, 2.77989571379417
"Fuels and lubricants", 127601936.940044, 1.15764728563339
"Automotive vehicle renting or watercraft charter", 94768803.0300073, 2.4113274614897
"Automotive vehicle renting or charter", 64150710.2699999, 3.3043282950552
"Postal services", 40476971.4199971, 2.81000431875428
"Flight tickets", 34802045.8299994, 4.93761152039075
"Lodging, except for congressperson from Distrito Federal", 13915299.31, 3.13999297122286
"Congressperson meal", 12583822.1700029, 2.5898567160856
"Aircraft renting or charter of aircraft", 11463577.25, 8.41149672459396
"Security service provided by specialized company", 9908693.68, 5.68169285449221
"Locomotion, meal and lodging", 5410239.87000002, 4.70131703838445
"Taxi, toll and parking", 2224660.88000019, 5.30696543909424
"Publication subscriptions", 1671290.99999998, 6.61978838205222
"Software purchase or renting; Postal services; Subscriptions", 949440.460000004, 5.71358097740307
"Purchase of office supplies", 545640.830000001, 6.52164705644133
"Watercraft renting or charter", 403675.17, 9.17377580521311
"Terrestrial, maritime and fluvial tickets", 242866.14, 8.48881635925387
"Participation in course, talk or similar event", 192131.05, 9.4339811320566
