Outliers found for 6 clusters and threshold 2.32
UF	Name
PE	PASTOR EURICO
PB	WELLINGTON ROBERTO
PE	EDUARDO DA FONTE
RO	LINDOMAR GARÇON
RS	POMPEO DE MATTOS
RO	AMIR LANDO
RJ	FILIPE PEREIRA
MA	GASTÃO VIEIRA
RJ	DR. ADILSON SOARES
MG	CARLOS MELLES
SP	ARNALDO FARIA DE SÁ
BA	ZEZÉU RIBEIRO
BA	EMILIANO JOSÉ
PB	AGUINALDO RIBEIRO
BA	FERNANDO TORRES
MT	ROBERTO DORNER
GO	MARINA SANTANNA
BA	LUCIO VIEIRA LIMA
RJ	CHICO D'ANGELO
SP	WALTER IHOSHI
MG	BILAC PINTO
PI	MAIA FILHO
SP	ARLINDO CHINAGLIA
MA	PEDRO FERNANDES
RR	JHONATAN DE JESUS
AM	SABINO CASTELO BRANCO
TO	ÂNGELO AGNOLIN
MG	MÁRIO HERINGER
RS	MARIA DO ROSÁRIO
PR	LUIZ CARLOS HAULY
MT	ELIENE LIMA
RS	LUIZ CARLOS BUSATO
DF	AUGUSTO CARVALHO
TO	LAUREZ MOREIRA
MS	AKIRA OTSUBO
AC	SÉRGIO PETECÃO
BA	ANTONIO CARLOS MAGALHÃES NETO
