Outliers found for 6 clusters and threshold 1.28
Considering congressman for legislature #55
UF	Name
PR	OSMAR BERTOLDI
AM	SILAS CÂMARA
SP	FLAVINHO
MA	ANDRÉ FUFUCA
SP	ORLANDO SILVA
RJ	WALNEY ROCHA
CE	ADAIL CARNEIRO
MT	EZEQUIEL FONSECA
RJ	LAURA CARNEIRO
MT	CARLOS BEZERRA
RJ	ALEXANDRE VALLE
AC	FLAVIANO MELO
CE	ARIOSTO HOLANDA
RS	POMPEO DE MATTOS
SP	ANTONIO BULHÕES
SC	CESAR SOUZA
RS	JOSE STÉDILE
PA	BETO FARO
MA	WEVERTON ROCHA
TO	LÁZARO BOTELHO
SP	WALTER IHOSHI
SP	PR. MARCO FELICIANO
RS	HEITOR SCHUCH
RR	HIRAN GONÇALVES
RJ	OTAVIO LEITE
MG	SUBTENENTE GONZAGA
PI	MAIA FILHO
BA	FÉLIX MENDONÇA JÚNIOR
RJ	JEAN WYLLYS
AM	ÁTILA LINS
MS	TEREZA CRISTINA
SP	GUILHERME MUSSI
MG	MARCUS PESTANA
PA	JÚLIA MARINHO
AM	HISSA ABRAHÃO
RS	PEPE VARGAS
PI	IRACEMA PORTELLA
GO	HEULER CRUVINEL
PE	GONZAGA PATRIOTA
TO	IRAJÁ ABREU
CE	ANÍBAL GOMES
MG	CARLOS MELLES
MA	HILDO ROCHA
ES	LELO COIMBRA
BA	ERIVELTON SANTANA
PR	GIACOBO
RO	LINDOMAR GARÇON
RR	ABEL MESQUITA JR.
AL	PEDRO VILELA
RJ	BENEDITA DA SILVA
PR	EDMAR ARRUDA
CE	MACEDO
CE	ANDRÉ FIGUEIREDO
MG	GABRIEL GUIMARÃES
BA	DAVIDSON MAGALHÃES
MG	TONINHO PINHEIRO
PA	ELCIONE BARBALHO
SP	ROBERTO DE LUCENA
MG	ADELMO CARNEIRO LEÃO
PI	MARCELO CASTRO
SP	VANDERLEI MACRIS
MG	MARCELO ARO
RR	SHÉRIDAN
MA	JOÃO MARCELO SOUZA
MA	ALBERTO FILHO
RR	JHONATAN DE JESUS
BA	WALDENOR PEREIRA
PR	NELSON PADOVANI
PR	ALIEL MACHADO
PB	WELLINGTON ROBERTO
BA	JOSÉ CARLOS ALELUIA
SP	BALEIA ROSSI
BA	JOSÉ ROCHA
AC	JÉSSICA SALES
SE	FÁBIO MITIDIERI
MG	RODRIGO DE CASTRO
BA	JUTAHY JUNIOR
MG	DOMINGOS SÁVIO
