"Date","Expenses"
"2009-07",13137034.469999887
"2009-08",13712445.279999502
"2009-09",14099374.119999519
"2009-10",14484886.569999475
"2009-11",14538760.079999547
"2009-12",18412715.509999678
"2010-01",11112159.339999944
"2010-02",12702249.949999727
"2010-03",16946508.969999343
"2010-04",12604061.029999655
"2010-05",11952303.19999957
"2010-06",11903463.89999959
"2010-07",9777888.319999967
"2010-08",9072373.91000004
"2010-09",8389802.809999995
"2010-10",10792336.709999792
"2010-11",17467485.29999906
"2010-12",21670784.289999586
"2011-01",11531046.739999702
"2011-02",12088164.449999712
"2011-03",12976107.60000019
"2011-04",14730721.52000021
"2011-05",15129765.510000344
"2011-06",15388385.710000532
"2011-07",13886519.950000234
"2011-08",15528536.280000627
"2011-09",15048678.820000581
"2011-10",14921438.770000596
"2011-11",14548717.790000375
"2011-12",16090104.170000412
"2012-01",11759920.24000008
"2012-02",14402402.740000382
"2012-03",15224433.140000252
"2012-04",14991388.620000377
"2012-05",15241006.050000302
"2012-06",13628943.870000144
"2012-07",13638626.070000332
"2012-08",13271942.059999881
"2012-09",12305925.519999854
"2012-10",14155121.039999975
"2012-11",15548079.380000057
"2012-12",16289049.589999953
"2013-01",11595245.140000097
"2013-02",13110896.970000094
"2013-03",15258421.679999942
"2013-04",16427142.720000045
"2013-05",16408472.200000163
"2013-06",16001574.77000029
"2013-07",15550746.420000255
"2013-08",16016084.97000021
"2013-09",16503868.980000162
"2013-10",17050488.040000163
"2013-11",16072560.770000074
"2013-12",19102247.96000018
"2014-01",12580977.719999973
"2014-02",17411948.760000203
"2014-03",17642353.970000256
"2014-04",18269381.18000047
"2014-05",19236521.530000333
"2014-06",13285805.819999943
"2014-07",11659691.319999816
"2014-08",9830135.019999832
"2014-09",8989929.639999827
"2014-10",16849108.559999563
"2014-11",22476226.539999634
"2014-12",27704513.790000156
"2015-01",12744554.19999972
"2015-02",13375881.749999307
"2015-03",17512553.959999114
"2015-04",17149029.109998994
"2015-05",18121816.20999907
"2015-06",17844123.669999246
"2015-07",17734045.479999274
"2015-08",19464478.49999972
"2015-09",19400218.549999937
"2015-10",19227905.699999835
"2015-11",18576822.559999775
"2015-12",22654848.62999961
"2016-01",13360062.119999953
"2016-02",17158969.129999954
"2016-03",20462751.53999951
"2016-04",18694603.88999993
"2016-05",19597110.339999948
"2016-06",18313788.660000216
"2016-07",16919024.900000248
"2016-08",18354020.1299997
